rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
39.3162,39.216,4.0913,0.9181,0.1,,,,,,,
,,,,,4893,70,1000,-200.0,100.0,17,282.5782
22.4259,22.4557,8.9392,0.7028,0.1,,,,,,,
,,,,,7393,95,2000,-200.0,100.0,31,178.5262
12.7935,12.9326,12.4193,0.9038,0.1,,,,,,,
,,,,,9893,120,3000,-200.0,100.0,44,186.3036
10.6475,10.8039,14.8521,0.9069,0.1,,,,,,,
,,,,,12393,145,4000,-200.0,100.0,57,189.3499
8.65,8.8314,16.4938,1.0535,0.1,,,,,,,
,,,,,14893,170,5000,-200.0,100.0,71,187.2485
6.3904,6.4862,17.3927,1.0666,0.1,,,,,,,
,,,,,17393,195,6000,-200.0,100.0,84,189.5227
7.4267,7.5262,17.9764,1.1025,0.1,,,,,,,
,,,,,19893,220,7000,-200.0,100.0,97,189.3112
5.6486,5.7428,18.3296,1.0495,0.1,,,,,,,
,,,,,22393,245,8000,-200.0,100.0,111,186.6163
4.8161,4.7954,18.5178,1.0839,0.1,,,,,,,
,,,,,24893,270,9000,-200.0,100.0,124,185.0196
3.3552,3.3282,18.6581,1.1717,0.1,,,,,,,
,,,,,27393,295,10000,-200.0,100.0,138,184.333
3.033,2.9066,18.5725,1.1203,0.1,,,,,,,
,,,,,29893,320,11000,-200.0,100.0,151,185.1747
2.1417,1.8293,18.1729,0.934,0.1,,,,,,,
,,,,,32297,345,12000,-200.0,100.0,165,179.5843
2.0504,1.6886,17.2401,0.7471,0.1,,,,,,,
,,,,,34586,370,13000,-200.0,100.0,178,172.266
2.5399,1.9921,15.9986,0.4456,0.1,,,,,,,
,,,,,36317,395,14000,-55.8,34.9,189,155.642
2.5527,1.7362,14.7715,0.2135,0.1,,,,,,,
,,,,,37701,420,15000,-97.0,53.5,200,124.88
1.9704,1.367,14.0329,0.1953,0.1,,,,,,,
1.4267,0.9098,13.4342,0.1686,0.1,,,,,,,
1.3785,0.7584,12.7732,0.2983,0.1,,,,,,,
,,,,,40739,495,18000,-127.9,67.45,230,101.8293
0.8314,0.6419,12.215,0.3591,0.1,,,,,,,
0.988,0.7025,12.1556,0.4993,0.1,,,,,,,
,,,,,43600,545,20000,-97.0,53.5,251,136.3847
0.9719,1.0983,12.1666,0.5663,0.1,,,,,,,
,,,,,45170,570,21000,-148.5,76.75,263,132.8217
0.7488,1.0652,9.8098,0.2695,0.1,,,,,,,
0.4317,0.8486,6.364,0.0056,0.1,,,,,,,
0.2945,0.6453,3.4552,0.0007,0.1,,,,,,,
0.1079,0.0545,0.2707,0.0004,0.1,,,,,,,
0.0145,0.0191,-3.2737,0.0002,0.1,,,,,,,
0.0089,0.0124,-4.9064,0.0001,0.1,,,,,,,
0.0044,0.0054,-5.2113,0.0001,0.1,,,,,,,
0.0106,0.0125,-5.2775,0.0,0.1,,,,,,,
0.007,0.0081,-5.2914,0.0,0.1,,,,,,,
,,,,,47583,795,30000,6.0,7.0,339,31.5225
0.0115,0.0153,-5.3416,0.0001,0.1,,,,,,,
0.0111,0.0172,-5.3518,0.0,0.1,,,,,,,
0.0061,0.0127,-5.3153,0.0,0.1,,,,,,,
0.0053,0.0047,-5.3397,0.0,0.1,,,,,,,
0.0094,0.0086,-5.3254,0.0,0.1,,,,,,,
0.0028,0.005,-5.3813,0.0,0.1,,,,,,,
0.0061,0.0064,-5.4779,0.0,0.1,,,,,,,
0.0057,0.0069,-5.4544,0.0,0.1,,,,,,,
0.0047,0.0079,-5.4486,0.0,0.1,,,,,,,
0.0045,0.008,-5.4416,0.0,0.1,,,,,,,
0.0045,0.0049,-5.4618,0.0,0.1,,,,,,,
0.0053,0.0021,-5.4705,0.0,0.1,,,,,,,
0.0052,0.0093,-5.4574,0.0,0.1,,,,,,,
0.0032,0.0013,-5.4722,0.0,0.1,,,,,,,
,,,,,50033,1145,44000,6.0,7.0,456,20.9093
0.0041,0.0052,-5.4865,0.0,0.1,,,,,,,
0.0065,0.0091,-5.4528,0.0,0.1,,,,,,,
0.0028,0.0033,-5.4526,0.0,0.1,,,,,,,
0.0057,0.0067,-5.4896,0.0,0.1,,,,,,,
0.0023,0.0038,-5.5481,0.0,0.1,,,,,,,
0.0027,0.0047,-5.4568,0.0,0.1,,,,,,,
0.008,0.0059,-5.4688,0.0,0.1,,,,,,,
0.0014,0.0026,-5.5484,0.0,0.1,,,,,,,
0.0066,0.0068,-5.6034,0.0,0.1,,,,,,,
0.0046,0.0054,-5.5694,0.0,0.1,,,,,,,
0.003,0.0049,-5.5492,0.0,0.1,,,,,,,
0.0038,0.0057,-5.6,0.0,0.1,,,,,,,
0.0029,0.0041,-5.5904,0.0,0.1,,,,,,,
0.0054,0.0067,-5.6513,0.0,0.1,,,,,,,
0.0041,0.0048,-5.6239,0.0,0.1,,,,,,,
,,,,,52658,1520,59000,6.0,7.0,582,20.8654
0.0024,0.0022,-5.607,0.0,0.1,,,,,,,
0.0037,0.0052,-5.6229,0.0,0.1,,,,,,,
0.0054,0.0067,-5.5862,0.0,0.1,,,,,,,
0.003,0.0046,-5.6643,0.0,0.1,,,,,,,
0.0065,0.0058,-5.6673,0.0001,0.1,,,,,,,
0.0046,0.0074,-5.664,0.0,0.1,,,,,,,
0.0036,0.0022,-5.7154,0.0,0.1,,,,,,,
0.0057,0.0084,-5.6296,0.0,0.1,,,,,,,
0.0006,0.0003,-5.6148,0.0,0.1,,,,,,,
0.0049,0.0016,-5.681,0.0,0.1,,,,,,,
0.0046,0.0105,-5.7251,0.0,0.1,,,,,,,
0.0027,0.004,-5.7202,0.0,0.1,,,,,,,
0.0033,0.0036,-5.6563,0.0,0.1,,,,,,,
0.0035,0.0026,-5.7305,0.0,0.1,,,,,,,
,,,,,55108,1870,73000,6.0,7.0,699,20.91
0.0046,0.0066,-5.6855,0.0,0.1,,,,,,,
0.0021,0.0019,-5.733,0.0,0.1,,,,,,,
0.0026,0.0018,-5.7672,0.0,0.1,,,,,,,
0.0055,0.0101,-5.7547,0.0,0.1,,,,,,,
0.0011,0.0056,-5.751,0.0,0.1,,,,,,,
0.0065,0.0034,-5.7323,0.0,0.1,,,,,,,
0.001,0.0023,-5.8547,0.0,0.1,,,,,,,
0.0081,0.0087,-5.7869,0.0,0.1,,,,,,,
0.0006,0.0021,-5.8773,0.0,0.1,,,,,,,
0.0057,0.0067,-5.8369,0.0,0.1,,,,,,,
0.0045,0.004,-5.7826,0.0,0.1,,,,,,,
0.001,0.0027,-5.836,0.0,0.1,,,,,,,
0.0049,0.0045,-5.8462,0.0,0.1,,,,,,,
0.0036,0.005,-5.7955,0.0,0.1,,,,,,,
,,,,,57558,2220,87000,6.0,7.0,817,20.8903
0.074,0.0773,-5.8379,0.0001,0.1,,,,,,,
0.0017,0.0017,-5.8244,0.0,0.1,,,,,,,
0.0022,0.0002,-5.8337,0.0,0.1,,,,,,,
0.003,0.009,-5.827,0.0,0.1,,,,,,,
0.0023,0.0007,-5.9245,0.0,0.1,,,,,,,
0.005,0.0068,-5.9106,0.0,0.1,,,,,,,
0.0013,0.002,-5.8695,0.0,0.1,,,,,,,
0.0073,0.0065,-5.8862,0.0,0.1,,,,,,,
0.0011,0.0044,-5.928,0.0,0.1,,,,,,,
0.0039,0.0038,-5.8814,0.0,0.1,,,,,,,
0.0024,0.0021,-5.8673,0.0,0.1,,,,,,,
0.0048,0.0065,-5.8848,0.0,0.1,,,,,,,
0.0031,0.0054,-5.8804,0.0,0.1,,,,,,,
0.0011,0.0022,-5.9071,0.0,0.1,,,,,,,
,,,,,60008,2570,101000,6.0,7.0,934,20.8623
0.0019,0.0015,-5.9216,0.0,0.1,,,,,,,
0.0049,0.0076,-5.9465,0.0,0.1,,,,,,,
0.0052,0.0016,-5.9804,0.0,0.1,,,,,,,
0.0023,0.0085,-5.9234,0.0,0.1,,,,,,,
0.0036,0.0014,-5.9278,0.0,0.1,,,,,,,
0.003,0.005,-5.9359,0.0,0.1,,,,,,,
0.0019,0.005,-6.0151,0.0,0.1,,,,,,,
0.0041,0.0035,-6.0198,0.0,0.1,,,,,,,
0.003,0.0049,-5.993,0.0,0.1,,,,,,,
0.004,0.0003,-5.9594,0.0,0.1,,,,,,,
0.0023,0.0069,-6.032,0.0,0.1,,,,,,,
0.0043,0.0032,-5.9701,0.0,0.1,,,,,,,
0.0033,0.0078,-6.0128,0.0,0.1,,,,,,,
0.0018,0.002,-5.9886,0.0,0.1,,,,,,,
0.0059,0.0045,-6.0442,0.0,0.1,,,,,,,
,,,,,62633,2945,116000,6.0,7.0,1054,21.8655
