rl_loss/qf1_loss,rl_loss/qf2_loss,rl_loss/policy_loss,rl_loss/policy_entropy,rl_loss/alpha,rl_loss/q_grad_norm,rl_loss/q_rnn_grad_norm,rl_loss/pi_grad_norm,rl_loss/pi_rnn_grad_norm,z/env_steps,z/rollouts,z/rl_steps,metrics/return_eval_avg,metrics/total_steps_eval_avg,z/time_cost,z/fps
14.0787,14.1085,3.3436,1.0935,0.1,4.062,13.5631,0.0825,0.2402,,,,,,,
2.6573,2.6784,7.4237,0.8632,0.1,10.6399,29.481,0.0359,0.0921,,,,,,,
7.2591,7.5897,8.6273,0.3864,0.1,11.4562,33.3075,0.0336,0.0636,,,,,,,
14.4593,14.9954,5.1913,0.0413,0.1,14.8291,44.2664,0.0204,0.0489,,,,,,,
9.7241,9.8681,1.3582,0.0139,0.1,8.4711,25.0383,0.0071,0.0193,,,,,,,
7.3596,7.436,3.3131,0.0455,0.1,14.7729,43.6249,0.0537,0.1548,,,,,,,
12.3647,12.391,4.0304,0.0153,0.1,26.8227,112.0745,0.0334,0.0975,,,,,,,
,,,,,,,,,12958,220,7000,0.5,9.75,373,34.7328
9.8018,9.8447,3.8099,0.0127,0.1,10.5075,31.7279,0.0141,0.0271,,,,,,,
8.7805,8.7976,3.5255,0.0083,0.1,16.7016,67.0307,0.0126,0.0331,,,,,,,
9.2541,9.2561,3.3646,0.0124,0.1,18.4867,63.8696,0.0019,0.004,,,,,,,
8.3838,8.3861,3.4131,0.0096,0.1,40.9954,139.372,0.0164,0.0386,,,,,,,
7.8221,7.8216,3.3555,0.0048,0.1,28.26,112.0949,0.0082,0.0206,,,,,,,
8.2666,8.2659,3.3753,0.0058,0.1,8.3888,20.549,0.0017,0.0045,,,,,,,
7.7254,7.7225,3.1543,0.0033,0.1,3.2692,4.8923,0.0021,0.0051,,,,,,,
7.351,7.3492,3.1124,0.0058,0.1,3.2289,3.9766,0.0084,0.0132,,,,,,,
7.9618,7.9534,3.0624,0.0039,0.1,6.8243,12.9963,0.0013,0.0028,,,,,,,
7.5944,7.5913,3.0679,0.0005,0.1,17.3492,54.0467,0.0004,0.0008,,,,,,,
6.7381,6.736,3.2929,0.0023,0.1,4.928,8.2515,0.0,0.0,,,,,,,
7.0563,7.0508,3.1432,0.0015,0.1,6.1218,10.4775,0.0123,0.0259,,,,,,,
6.5781,6.573,2.9813,0.0006,0.1,4.9695,7.2916,0.0,0.0,,,,,,,
7.5627,7.5483,2.5874,0.0003,0.1,4.7138,7.2787,0.0,0.0,,,,,,,
6.6405,6.6359,1.2168,0.0,0.1,10.4659,20.1732,0.0,0.0,,,,,,,
6.9774,6.9719,0.9096,0.0,0.1,7.3843,12.2297,0.0,0.0,,,,,,,
6.2938,6.2884,0.7576,0.0,0.1,2.3639,2.2805,0.0,0.0,,,,,,,
6.6461,6.6414,0.7341,0.0,0.1,4.2677,4.9266,0.0,0.0,,,,,,,
8.1336,8.1179,0.4261,0.0,0.1,47.594,106.0973,0.0,0.0,,,,,,,
6.2957,6.2957,0.165,0.0,0.1,5.5034,8.0601,0.0,0.0,,,,,,,
6.2417,6.2389,0.1635,0.0,0.1,4.434,5.2936,0.0,0.0,,,,,,,
6.3055,6.3067,0.086,0.0,0.1,2.6629,3.3698,0.0,0.0,,,,,,,
6.0911,6.0894,-0.0512,0.0,0.1,6.9491,9.554,0.0,0.0,,,,,,,
5.9854,5.9841,-0.2581,0.0,0.1,4.1689,4.3633,0.0,0.0,,,,,,,
5.67,5.6701,-0.4097,0.0,0.1,5.5573,6.7979,0.0,0.0,,,,,,,
5.9433,5.9425,-0.4842,0.0,0.1,4.2266,5.6001,0.0,0.0,,,,,,,
5.7406,5.7318,-0.2264,0.0,0.1,3.5517,3.2419,0.0,0.0,,,,,,,
5.8095,5.8094,-0.3351,0.0,0.1,3.8456,3.9721,0.0,0.0,,,,,,,
5.7665,5.7631,-0.3309,0.0,0.1,2.6355,1.9681,0.0,0.0,,,,,,,
5.8177,5.8135,-0.5643,0.0,0.1,3.5696,3.1732,0.0,0.0,,,,,,,
5.6738,5.6751,-0.6052,0.0,0.1,2.5501,1.6324,0.0,0.0,,,,,,,
5.6905,5.6861,-0.6907,0.0,0.1,6.6359,8.8539,0.0,0.0,,,,,,,
5.6765,5.6768,-0.735,0.0,0.1,4.4629,1.6956,0.0,0.0,,,,,,,
5.5515,5.5506,-0.7995,0.0,0.1,8.6148,9.5941,0.0,0.0,,,,,,,
5.361,5.3571,-0.8719,0.0,0.1,2.4272,1.7263,0.0,0.0,,,,,,,
5.0366,5.0388,-1.0217,0.0,0.1,2.156,1.2504,0.0,0.0,,,,,,,
5.0674,5.0673,-1.0456,0.0,0.1,2.7391,1.7663,0.0,0.0,,,,,,,
5.1053,5.1044,-1.098,0.0,0.1,3.6848,3.2153,0.0,0.0,,,,,,,
5.2543,5.2519,-1.071,0.0,0.1,2.0643,1.2181,0.0,0.0,,,,,,,
5.338,5.3359,-1.2207,0.0,0.1,20.4007,39.0906,0.0,0.0,,,,,,,
5.0537,5.054,-1.4012,0.0,0.1,3.948,2.7993,0.0,0.0,,,,,,,
5.2028,5.2033,-1.4121,0.0,0.1,2.0378,0.8259,0.0,0.0,,,,,,,
5.2298,5.2291,-1.4712,0.0,0.1,2.6484,2.2269,0.0,0.0,,,,,,,
4.3966,4.3988,-1.4262,0.0,0.1,3.7476,2.7942,0.0,0.0,,,,,,,
4.4839,4.4826,-1.524,0.0,0.1,43.2635,135.3526,0.0,0.0,,,,,,,
